year,t,gdp_nom_bn,gdp_real_idx,know_nom_bn,phys_nom_bn,human_nom_bn,total_displaced_m,human_workers_m,net_without_income_m,know_auto_pct,phys_auto_pct,labor_income_bn,capital_income_bn,labor_share_pct,gini_proxy,tax_total_bn,tax_corp_bn,tax_labor_bn,tax_vat_bn,tax_wealth_bn,existing_spending_bn,redistributable_bn,ubi_per_person_k,human_wage_k,r_ai_pct,r_land_pct,r_energy_pct,r_blended_pct,implied_pe,land_price_idx,energy_price_idx
2025.0,0.0,28000.0,100.0,11200.0,8400.0,1960.0000000000002,6.267306883356111,8.0,6.267306883356111,6.675519841869433,2.282707183140811,12639.391572663753,8920.608427336247,58.62426517933095,0.49564258656875504,7617.969578633188,1784.1216854672493,3159.8478931659383,2184.0,490.0,7560.000000000001,57.96957863318676,9.249519723876093,200.9,28.000000000000004,7.000000000000001,7.000000000000001,17.200000000000003,5.813953488372092,100.0,100.0
2026.0,1.0,26546.930599279232,102.13214766090918,10080.0,7896.0,2002.1305992792336,9.464957905361437,8.444799999999999,9.020157905361438,10.489857137946345,2.98790744693761,11498.163931940064,8479.96666733917,57.553752964028035,0.4994107895666213,7150.79490319663,1695.993333467834,2874.540982985016,2070.66058674378,509.6,7167.671261805393,0.0,0.0,194.40923306756486,26.717549123895836,7.000000000000001,8.200000000000001,15.978111409726456,6.258561943630357,103.49999999999999,117.14285714285712
2027.0,2.0,25245.282176308174,104.43044739534693,9072.0,7422.24,2050.8661763081745,14.053229323489505,8.914330879999998,13.138898443489508,16.05344609495936,3.898043961123074,10388.181423433838,8156.924752874334,56.0157559879867,0.5048245389222867,6727.546316185364,1631.384950574867,2597.0453558584595,1969.1320097520374,529.9840000000002,6816.226187603207,0.0,0.0,188.65243922522015,25.51341635491645,7.000000000000001,9.4,14.924258363098284,6.700500458184238,107.12249999999999,134.28571428571428
2028.0,3.0,24082.18728087244,106.89965913760118,8164.800000000001,6976.905599999999,2106.302160872439,20.280973431628432,9.409967676927996,18.871005754700434,23.666845080559572,5.063820271289908,9308.329862785578,7939.677898086861,53.96756536660292,0.5120341699095577,6344.6120132218175,1587.9355796173722,2327.0824656963946,1878.4106079080502,551.18336,6502.190565835559,0.0,0.0,183.54662111647716,24.382818877581027,7.000000000000001,10.600000000000001,14.017996738905156,7.133686921360368,110.87178749999997,151.42857142857142
2029.0,4.0,23046.030995311346,109.54292772137693,7348.320000000001,6558.291263999999,2168.5566209113485,28.10827715029985,9.933161879765192,26.175115270534654,33.2235788542368,6.5426568363271125,8277.322263266717,7797.845621644631,51.4913581153704,0.5207504194338962,5999.720802179891,1559.5691243289264,2069.330565816679,1797.590417634285,573.2306944000002,6222.428368734064,0.0,0.0,179.01816668967248,23.321265958594655,7.000000000000001,11.8,13.24139072484883,7.552076823194993,114.75230006249997,168.57142857142858
2030.0,5.0,22126.33257674489,112.36143450382903,6613.488000000001,6164.793788159998,2237.7704159768946,37.05328591003855,10.485445680280135,34.56784022975841,44.0,8.395759234435232,7332.48698485692,7683.5652192799735,48.830990230820014,0.5301149143875135,5691.848653232326,1536.7130438559948,1833.12174621423,1725.8539409861016,596.159922176,5974.109795721121,0.0,0.0,175.00178791179712,22.324541109655186,7.000000000000001,13.0,12.578703640384422,7.949944832068868,118.76863056468746,185.7142857142857
2031.0,6.0,21313.638770632064,115.3540477304183,5952.1392000000005,5794.906160870398,2314.1074297015057,46.275818030844405,11.06843646010371,43.207381570740694,54.7764211457632,10.682491884210785,6514.632463842714,7546.52032672919,46.33071385306913,0.5389158872371966,5420.432324478858,1509.3040653458381,1628.6581159606785,1662.4638241093012,620.0063190630402,5754.682468070658,0.0,0.0,171.4395794921024,21.388685339561302,7.000000000000001,14.200000000000001,12.016126965872948,8.322149082146886,122.9255326344515,202.85714285714283
2032.0,7.0,20599.427652052975,118.51698909439415,5356.925280000001,5447.211791218174,2397.7548811734364,54.92882871192763,11.683841527285475,51.244987184642156,64.33315491944043,13.45149557801644,5846.945343019994,7354.946609371617,44.288692591221974,0.5461038020788986,5184.287586315017,1470.9893218743237,1461.7363357549984,1606.7553568601322,644.8065718255617,5561.845466054304,0.0,0.0,168.28018404482916,20.509981429099035,7.000000000000001,15.400000000000002,11.541542850215897,8.664352877061786,127.22792627665729,220.00000000000003
2033.0,8.0,19976.02196479925,121.84353747768373,4821.232752000001,5120.379083745083,2488.9237153995728,62.50792987177104,12.333463116202545,58.174466755568496,71.94655390504063,16.728767281471534,5325.436219424367,7105.099331720289,42.84156702270143,0.551197684080091,4981.107469153075,1421.0198663440578,1331.3590548560917,1558.1297132543414,670.5988346985843,5393.525930495797,0.0,0.0,165.47805165497144,19.6849391662467,7.000000000000001,16.6,11.144315954624037,8.973184214012495,131.6809036963403,237.14285714285714
2034.0,9.0,19436.511030761765,125.32379352862762,4339.109476800001,4813.156338720378,2587.849073313705,68.93009666024814,13.019203665463404,63.91089299478473,77.51014286205364,20.504365311827364,4926.776477951955,6813.338410882128,41.9653174147194,0.5542820827001878,4807.832450150359,1362.6676821764258,1231.6941194879887,1516.0478603994177,697.4227880865276,5247.857978305677,0.0,0.0,162.99278317201947,18.91028148305236,7.000000000000001,17.8,10.815111003120451,9.246322110900877,136.2897353257122,254.28571428571428
